term,Topic,Freq,Term
337,9,0.010382025118714514,20일
9009,9,0.24047557687694315,평창
5112,9,0.3989726448857113,스카
9010,9,0.5541957806925247,평창군
6770,9,0.6317661259470903,이진욱
3780,9,0.045250855783282834,방문
6153,9,0.016584877822179246,오전
7563,9,0.017506158060082364,제공
1985,9,0.00651414348496373,기자
1681,9,0.18061939396730275,국무총리
9652,9,0.2105995306259985,황교안
7162,9,0.3990794051419403,장병들
6170,9,0.008443046386342643,오후
6808,9,0.0338687325306205,인근
8161,9,0.00896713012121708,참석
1143,9,0.15239758864840008,격려
6712,9,0.016280724066489918,이상
7833,9,0.1605811171621007,중동
1890,9,0.004221891182513514,금지
7204,9,0.004150608611492224,재배포
3424,9,0.003954034369182072,무단
9503,9,0.08222953500502046,현황
5561,9,0.08594706641359963,악수
3753,9,0.018158882142106224,발언
8162,9,0.05769942058773129,참석자들
6972,9,0.04129888796075216,입고
2796,9,0.17893605569710724,동계올림픽
871,9,0.02710662800658832,간담회
7494,9,0.14048621419444204,정선
8965,9,0.0654180172794682,퍼포먼스
4627,9,0.0017285378804209341,서울
6632,9,0.008889541968000654,의원
8455,9,0.06109373867640204,축사
0,9,0.03958692308673426,00
8377,9,0.3305946421337077,최고위원회의
9581,9,0.14615798856469064,홍천
828,9,0.009135552969267376,가운데
7426,9,0.02699079845834557,점검
6135,9,0.02232187874396857,오른쪽
304,10,0.2777373613025756,2016
112,10,0.29504165671330157,13
730,10,0.39850866415439384,88
526,10,0.2265888180737553,43
366,10,0.11429642654505788,25
138,10,0.6126752376525515,147
163,10,0.10227984363585776,16
355,10,0.0823094044436581,23
74,10,0.10971874375222468,11
527,10,0.6689465679171281,430
167,10,0.42249439831368807,165
15,10,0.10117000731836394,05
423,10,0.20771776555534158,300
386,10,0.114868410981753,29
762,10,0.14773888722714598,99
47,10,0.321799992914498,108
144,10,0.05014712103857089,15
374,10,0.06266656046591157,26
535,10,0.08415523933473441,48
276,10,0.05797315580216339,200
452,10,0.07317650405409984,34
349,10,0.031826681743329636,22
714,10,0.03390149086278221,80
306,10,0.007349817957195436,2017
200,10,0.003207922535697328,19
653,10,0.2841341121875056,650
378,10,0.031447514208291096,27
155,10,0.3141034319100594,159
174,10,0.03281001920746184,17
277,10,0.06569066823463722,2000
23,10,0.016961362608791407,100
720,10,0.02811602174822369,82
447,10,0.030364578603859382,33
508,10,0.037860187754839875,400
655,10,0.03228224581827793,66
444,10,0.018522379269886955,32
748,10,0.01793520860576775,90
455,10,0.017844739237834657,35
658,10,0.019438129409667944,68
136,10,0.11678207028837545,145
360,10,0.006047673727674607,24
453,10,0.08320295827195111,340
659,10,0.017827613540803977,69
2914,10,0.09299917800150025,드립
8991,10,0.08445282155828494,편집자
1,10,0.005991013597112885,000
6552,10,0.021606909082106943,윤상
6017,10,0.0007751122629004934,연합뉴스
3918,10,0.039555031689077716,벡스코
8990,10,0.014781941607934581,편집
2516,11,0.7555831646550115,단지
4174,11,0.6904534081416015,분양
5553,11,0.413070111090666,아파트
4639,11,0.28979869294915994,서울시
7647,11,0.24399051330504365,조성
6167,11,0.6050764744758262,오피스텔
724,11,0.4408071491983643,84
1189,11,0.10423539320391918,경기
8276,11,0.6593897770935246,청약
6117,11,0.0789954437907675,예정
7995,11,0.5877447330589851,지하
6995,11,0.562768295748341,입주
1767,11,0.14043802789249388,규모
7366,11,0.9202934075063748,전용면적
7958,11,0.08808755991150276,지역
7946,11,0.6500886114789283,지상
1401,11,0.22169364668367392,공급
252,11,0.7760180714974771,1순위
6436,11,0.2231039016022223,위치
7365,11,0.3519408521840466,전용
1226,11,0.5975714564166007,경쟁률
6808,11,0.14184394276149087,인근
2740,11,0.8305887733898413,도시계획위원회
9000,11,0.18942100812792942,평균
6883,11,0.21995585883513352,일대
1021,11,0.4668567799414506,개통
7728,11,0.5307095542657942,주거
4488,11,0.5417115332353503,상가
607,11,0.3874595380800222,59
993,11,0.09319477179059309,개발
4627,11,0.014469406266842523,서울
4719,11,0.30341028580067725,설계
1151,11,0.8925364434780949,견본주택
1615,11,0.09722804731559048,구성
6277,11,0.5813738900669708,용인시
1121,11,0.03196906535563969,것으로
4987,11,0.2703406927687122,수도권
5913,11,0.07467413435750292,여의도
1278,11,0.060879738174645315,계획
792,11,0.07789728995658246,가능
1587,11,0.2791838489295713,교통
3349,11,0.9318319832987593,모델하우스
785,11,0.28289875902274925,가구
5942,11,0.7644381587062403,역세권
3372,11,0.20866096644884086,모집
1938,11,0.06118021473222534,기록
4076,11,0.1407637767714934,부동산
5541,11,0.907804931490433,아이파크
1384,11,0.1377706085456006,공간
6951,11,0.6484953348977652,임대주택
255,12,0.7223792239243942,1심
4408,12,0.2291576956499789,사장
6707,12,0.9789220513053422,이부진
7220,12,0.217281976659193,재판
6962,12,0.9848781922883479,임우재
1312,12,0.23119982834935154,고문
5038,12,0.8807281204895431,수원지법
8928,12,0.37041507987080435,판결
1534,12,0.9276492811723913,관할권
4628,12,0.97972290873861,서울가정법원
6788,12,0.9510979843806681,이혼소송
6787,12,0.47872988460242916,이혼
8901,12,0.5961221072920283,파기
4756,12,0.9929002418378966,성남지원
4484,12,0.7619992067855951,삼성전기
1533,12,0.46826111843477813,관할
9555,12,0.8584900263941279,호텔신라
9354,12,0.5309256398628821,항소심
4886,12,0.1546756163026552,소송
4531,12,0.10789165760265065,상임고문
5187,12,0.49876053025837846,승소
3894,12,0.13074698412106134,법원
809,12,0.14797409249222862,가사
7760,12,0.5454864158557353,주소지
4335,12,0.03499924849448993,사건
841,12,0.9021404320143132,가정법원
3458,12,0.4484739955819156,무효
8048,12,0.010720514162432684,진행
8571,12,0.9602239977222093,친권
4673,12,0.09230296215946776,선고
7759,12,0.3625814286105905,주소
6417,12,0.06503594867846489,위반
4092,12,0.05531294667392478,부부
7635,12,0.5692170596042656,조미
8931,12,0.01706491039799626,판단
3933,12,0.09467402004943026,변호사
4349,12,0.0131475967153626,사람
4470,12,0.33589135066134734,살았던
810,12,1.0,가사소송법
7777,12,0.02315359165989121,주장
5844,12,0.09659264867430657,없다고
5036,12,0.054553812509229235,수원
8546,12,0.033078659407014745,측은
9475,12,0.12523166700482935,현대상선
5739,12,0.44031933091088016,양육권
4121,12,0.10045291158162707,부장판사
1179,12,0.03925779368844043,결혼
2430,12,0.0034197789291495646,뉴스1
420,12,0.276227116462899,2호
840,12,0.05531763898250083,가정
7208,13,0.9924172576566508,재송신
9513,13,0.43874132452817005,협상
834,13,0.6045603815237468,가이드라인
7947,13,0.38756259181090774,지상파
2580,13,0.27948130424672735,대가
7948,13,0.9848450877011384,지상파방송
3810,13,0.787466770490065,방통위
4456,13,0.44118386771802953,산정
6472,13,0.7403344581231701,유료방송
3792,13,0.5112488731197885,방송통신위원회
3786,13,0.011278057615609974,방송
4376,13,0.10879649854929899,사업자
3540,13,0.12530527054686064,미래부
1014,13,0.2396522433491829,개인정보
3789,13,0.2245233114701692,방송사
4394,13,0.09384478198999835,사유
6617,13,0.0882556319974981,의무
8646,13,0.18703366928228315,케이블
4065,13,0.11553758896858654,부과
6417,13,0.037169582278146776,위반
1222,13,0.011622111115852825,경우
1537,13,0.04138680612962346,광고
6249,13,0.01918423907907558,요구
7483,13,0.009705545464921478,정부
9337,13,0.07015799143069439,합리적
7460,13,0.07307416805139902,정당
3094,13,0.01105239987490108,마련
5899,13,0.026709229620374586,여부
4773,13,0.10670611949102725,성실
1485,13,0.46135373424304715,과징금
2434,13,0.002078251552415541,뉴시스
4967,13,0.3347178059457329,송출
1486,13,0.153859360436958,과태료
1303,13,0.7716599086975446,고려요소
7576,13,0.01909984630665712,제시
7989,13,0.11448536840728528,지침
1997,13,0.011397658524557673,기준
6701,13,0.004148568620728443,이번
6384,13,0.0293983073849497,원칙
7420,13,0.03555317734592703,절차
9518,13,0.06462240842052672,협의체
2293,13,0.009596777937723431,내용
2681,13,0.0034370938085675137,대한
1268,13,0.01326742024899719,계약
7263,13,0.1682621927124874,저해
8931,13,0.006307364187227208,판단
6603,13,0.05375584600119297,의결
885,13,0.04100550087622765,갈등
9628,13,0.020280815624899293,확정
2537,13,0.05211468198012613,담고
4136,14,0.6614828389211126,부총리
2009,14,0.3729765670281102,기획재정부
6502,14,0.22036589789178299,유일
7485,14,0.2823739468172928,정부서울청사
7213,14,0.6938835739142463,재정전략협의회
1231,14,0.5539735876016092,경제부총리
7141,14,0.0697376391727468,장관
1395,14,0.5529762838819235,공공기관장
1228,14,0.037886046582459296,경제
4829,14,0.13214602049872642,세종
6343,14,0.3537807387940411,워크숍
2430,14,0.012320115776948417,뉴스1
8082,14,0.33249973474899663,집행
4627,14,0.007975308497306478,서울
7212,14,0.2709101496728977,재정
7778,14,0.15824858003668435,주재
6105,14,0.320318572924547,예산안
8009,14,0.24428821561339997,직장
1394,14,0.15649058715477387,공공기관
1024,14,0.22159006141201817,개혁
4209,14,0.5674935255668929,불씨
6012,14,0.4942614549969144,연초
7546,14,0.12285524332038959,제2
5946,14,0.5635616113909556,역점
9187,14,0.1170476600108957,하반기
7483,14,0.02748655823847575,정부
2087,14,0.42869878937771505,김주성
1396,14,0.4959969022826487,공공부문
6925,14,0.07601347635103081,일자리
2558,14,0.1001886525330259,당부
3937,14,0.5116242858536341,별관
8219,14,0.09332791879630156,처리
3351,14,0.1280205275613331,모두발언
337,14,0.005981101447041743,20일
7013,14,0.03318202789661933,있도록
6665,14,0.019873372751257955,이데일리
1985,14,0.005222113558718523,기자
6283,14,0.017989568774296007,우리
8191,14,0.09368142785874843,창출
304,14,0.002960339300035431,2016
1718,14,0.015416247777842946,국회
307,14,0.06365023067221674,2017년
2005,14,0.42223574598581237,기한
552,14,0.11170783862926269,4분기
8136,14,0.3415572517531529,차질없
5336,14,0.2725292144128856,신의
1631,14,0.40443242454782113,구조개혁
4676,14,0.17095048432360938,선도
3935,14,0.0413355156482355,변화
305,14,0.03383922588828666,2016년
5542,15,0.4909945024199072,아이폰
7816,15,0.35113171498977347,중고
1355,15,0.39970882870837515,고장
3080,15,0.9436024903204515,리퍼폰
7303,15,0.14925897819736358,전기
4097,15,0.47338069940299166,부산경찰청
1257,15,0.0543552405860247,경향신문
1591,15,0.09791931511863058,교환
8502,15,0.10486167645291554,충격
3437,15,0.14628119897693045,무상
1244,15,0.009912110127819604,경찰
4096,15,0.017749053458755815,부산
6882,15,0.24224007565970412,일당
63,15,0.3202652871419181,10억
4072,15,0.40878388009257555,부당이득
4841,15,0.051793752112524606,센터
5000,15,0.13494252138079182,수법
548,15,0.0695852600555784,4명
9507,15,0.010082120311319106,혐의
3721,15,0.012143868443255991,받고
4141,15,0.07494779080418229,부품
2057,15,0.02787362475793907,김씨
7207,15,0.1553822576453211,재생
3887,15,0.022788142325026486,범행
6669,15,0.009851745288558535,이들
7610,15,0.008281866378200036,제품
768,15,0.11911706782263867,9명
1177,15,0.1751907613161321,결함
6971,15,0.04138285151205244,입건
5691,15,0.03982041964114953,애플
6017,15,0.0027214957445527484,연합뉴스
1545,15,0.09909546137649031,광역
616,15,0.04648167425196966,5명
6902,15,0.14021743062428463,일부러
1130,15,0.03777914941327663,것처럼
4190,15,0.03141347062330643,불구속
4342,15,0.02682607744006288,사기
1619,15,0.028086329170426055,구속
4992,15,0.060934370924666956,수리
8006,15,0.01601039266374254,직원
4348,15,0.12534168339611362,사들
8906,15,0.14386297918536115,파손
1353,15,0.185467720259177,고의
64,15,0.16283510506944576,10억원
556,15,0.017838448805684488,4월
4497,15,0.01648897847327764,상당
6335,15,0.1288640872762623,웃돈
6561,15,0.010031106346212485,으로
472,15,0.06426979858327363,3곳
792,15,0.005895414201647139,가능
1044,16,0.6494133280946894,거래소
5259,16,0.5331575139136049,시카고
9666,16,0.05874459982479635,회사
5871,16,0.3610494882245565,엑스포
4371,16,0.017906332233163076,사업
4536,16,0.10018815763260504,상장
3017,16,0.05997342125373955,러시아
5862,16,0.28373877172436596,에이
3530,16,0.010256886068569733,미국
4680,16,0.0527945271755799,선물
9242,16,0.16889547065454916,한국거래소
9339,16,0.1361781023334741,합병
1268,16,0.03051238256953356,계약
9457,16,0.019097228285171585,헤럴드경제
4725,16,0.013142256704681814,설명
8152,16,0.019172254521342635,참가
6141,16,0.13313226208426285,오바마
5734,16,0.18589466595709048,양수
6194,16,0.2376396866522504,옵션
9382,16,0.018996509624011067,해외
6117,16,0.006830563760945686,예정
9614,16,0.015274936931977038,확대
8289,16,0.023561223698720223,체결
1851,16,0.011200734580012093,글로벌
4797,16,0.0087288379776508,세계
6671,16,0.008013739082599603,이라고
1972,16,0.009049818499942994,기업
9644,16,0.010640962552015182,활동
1121,16,0.004417437810203823,것으로
1220,16,0.10609368866169974,경영진
1498,16,0.010321592406610944,관계자는
7118,16,0.011727457065401015,작품
1667,16,0.00751899991105495,국내
4487,16,0.16178232510739987,삽입
5243,16,0.0070623536585784855,시장
1709,16,0.13490507984110273,국제선
848,16,0.040477925201759773,가지고
1401,16,0.017730131187334294,공급
9435,16,0.024067376838505426,향후
337,16,0.0018985395513488388,20일
6462,16,0.0256416712755621,유럽
8445,16,0.010195633838253945,추진
8546,16,0.01805839873527348,측은
1985,16,0.0016308071874818694,기자
1944,16,0.0288339685787786,기반
2951,16,0.014579615420456594,디지털
